id,cjPid,name,supplierSource,categoryId,categoryName,categoryParent,dateAdded,matchReason
559603,2407010403061612800,Sex Track Assembling Children's Block Pipe Ball Building Piece Toy,CJ,F18491A9-2F33-4D85-A154-78EE4CD2AD33,Action & Toy Figures,Toys & Hobbies,Mon Jul 27 2026 05:10:47 GMT+0530 (India Standard Time),product-name-match
560007,1783005306612625408,Crystal Transparent Airplane Bottle Men's Trainer Comfortable And Sex Product,CJ,F18491A9-2F33-4D85-A154-78EE4CD2AD33,Action & Toy Figures,Toys & Hobbies,Mon Jul 27 2026 05:11:15 GMT+0530 (India Standard Time),product-name-match
997695,1365832135289737216,Sexual Positions A Year Of Sex Adult Full English Sex Pose Card,CJ,F18491A9-2F33-4D85-A154-78EE4CD2AD33,Action & Toy Figures,Toys & Hobbies,Sat Aug 15 2026 08:04:50 GMT+0530 (India Standard Time),product-name-match
509222,2043932722137112577,Repair subsidy-Heel for opposite sex-6 pieces-1 pack,CJ,2502190501141602700,Bag Accessories,Women's Luggage & Bags,Mon Jul 27 2026 03:05:07 GMT+0530 (India Standard Time),product-name-match
188664,2407230507571615600,Sexy Sex Product Women's Products Open After Entering,CJ,496E6FFC-4BC4-4CA6-8225-5BC0D56E8E11,Bedding Sets,Home Textiles,Thu Jul 23 2026 03:21:47 GMT+0530 (India Standard Time),product-name-match
791869,E1C30166-AD33-41C2-80CF-F27ED2BB6D51,European and American sex appeal tight knit dressshows thin package buttock skirt female,CJ,07398ADB-FC5E-4CC4-AD00-EB230E779E88,Blazers,Outerwear & Jackets,Thu Aug 13 2026 15:36:30 GMT+0530 (India Standard Time),product-name-match
1047985,1719613600458870784,Second Generation And Third Generation Men's Increasing Cream Crocodile Skin care lotion For Sex,CJ,E0238E88-0C63-427F-812E-BA1FCE4C67B4,Body Care,Skin Care,Sat Aug 15 2026 09:20:19 GMT+0530 (India Standard Time),product-name-match
345455,1435850645042237440,Sexual Fashion Trendy Men And Women Thai Silver Pendant Jewelry,CJ,633E1860-7C63-4006-AB35-3FC16BECFA62,Body Jewelry,Fashion Jewelry,Sat Jul 25 2026 08:36:13 GMT+0530 (India Standard Time),product-name-match
346016,1411599205297950720,Sexual Geometric Tassel Pendant Clothes Chain,CJ,633E1860-7C63-4006-AB35-3FC16BECFA62,Body Jewelry,Fashion Jewelry,Sat Jul 25 2026 08:36:45 GMT+0530 (India Standard Time),product-name-match
346090,1410413972183715840,Stitching Necklace Sex Cold Wind Fringe Accessories,CJ,633E1860-7C63-4006-AB35-3FC16BECFA62,Body Jewelry,Fashion Jewelry,Sat Jul 25 2026 08:36:52 GMT+0530 (India Standard Time),product-name-match
718572,2505270824071604300,New Baroque Opposite-sex Pearl Fashion Bracelet,CJ,0615F8DB-C10F-4BEF-892B-1C5B04268938,Bracelets & Bangles,Fashion Jewelry,Thu Aug 13 2026 14:50:58 GMT+0530 (India Standard Time),product-name-match
722801,1384743202367606784,Sexual Popular Five-pointed Star Sequined Star Clavicle Chain,CJ,0615F8DB-C10F-4BEF-892B-1C5B04268938,Bracelets & Bangles,Fashion Jewelry,Thu Aug 13 2026 15:02:35 GMT+0530 (India Standard Time),product-name-match
